doi,number,title,keywords,abstract,year
https://doi.org/10.1016/j.rse.2024.114290,,Deep learning for urban land use category classification: A review and experimental assessment,"Urban land use type, Deep learning, Remote sensing, Geospatial big data, Sample","Mapping the distribution, pattern, and composition of urban land use categories plays a valuable role in understanding urban environmental dynamics and facilitating sustainable development. Decades of effort in land use mapping have accumulated a series of mapping approaches and land use products. New trends characterized by open big data and advanced artificial intelligence, especially deep learning, offer unprecedented opportunities for mapping land use patterns from regional to global scales. Combined with large amounts of geospatial big data, deep learning has the potential to promote land use mapping to higher levels of scale, accuracy, efficiency, and automation. Here, we comprehensively review the advances in deep learning based urban land use mapping research and practices from the aspects of data sources, classification units, and mapping approaches. More specifically, delving into different settings on deep learning-based land use mapping, we design eight experiments in Shenzhen, China to investigate their impacts on mapping performance in terms of data, sample, and model. For each investigated setting, we provide quantitative evaluations of the discussed approaches to inform more convincing comparisons. Based on the historical retrospection and experimental evaluation, we identify the prevailing limitations and challenges of urban land use classification and suggest prospective directions that could further facilitate the exploitation of deep learning techniques in urban land use mapping using remote sensing and other spatial data across various scales.",2024
https://doi.org/10.1016/j.cstp.2024.101247,,A systematic survey on big data and artificial intelligence algorithms for intelligent transportation system,"Big data, Artificial intelligence, Machine learning, Deep learning, Intelligent transport system","Rapid urbanization and globalization have resulted in intolerable congestion and traffic, necessitating the investigation of Intelligent Transportation Systems (ITS). ITS employs advanced technologies to address modern transportation challenges, aiming to create smarter, faster, and safer transportation networks. Increased data availability and the emergence of Artificial Intelligence (AI) and Big Data have enabled ITS gain significant attention in recent years. The integration of AI and Big Data contributes significantly to ITS development, optimizing traffic planning, forecasting, and management, and concurrently reducing transportation costs by enhancing the performance of public transportation, ride-sharing, and smart parking. This survey paper performs a systematic study and comprehensive exploration of the synergistic integration of Big Data and Artificial Intelligence (AI) in Intelligent Transportation Systems (ITS). By elucidating the underlying principles, the paper emphasizes the transformative potential of these technologies in addressing contemporary challenges in transportation. It innovatively delves into specific ITS application domains, including traffic flow forecasting, congestion management, and intelligent routing, offering a detailed analysis of how the amalgamation of Big Data and AI enhances efficiency across various facets of modern transportation systems. The survey not only highlights the benefits of this integration in terms of efficient traffic planning and reduced transportation costs but also delves into the associated challenges, including data collection, data privacy, security, computational complexity, and algorithmic scalability. Furthermore, it contributes valuable insights by proposing potential solutions and suggesting future research directions to enhance effectiveness of big data and AI algorithms in the realm of ITS.",2024
https://doi.org/10.1016/j.scs.2023.104562,,Algorithmic urban planning for smart and sustainable development: Systematic review of the literature,"Artificial intelligence, Big data, Urban planning, Urban development, Sustainable development, Smart cities","In recent years, artificial intelligence (AI) has been increasingly put into use to address cities’ economic, social, environmental, and governance challenges. Thanks to its advanced capabilities, AI is set to become one of local governments’ principal means of achieving smart and sustainable development. AI utilisation for urban planning, nonetheless, is a relatively understudied area of research, particularly in terms of the gap between theory and practice. This study presents a comprehensive review of the areas of urban planning in which AI technologies are contemplated or applied, and it is analysed how AI technologies support or could potentially support smart and sustainable development. Regarding the methodological approach, this is a systematic literature review following the PRISMA protocol. The obtained insights include: (a) Early adopters’ real-world AI applications in urban planning are paving the way to wider local government AI adoption; (b) Achieving wider AI adoption for urban planning involves collaboration and partnership between key stakeholders; (c) Big data is an integral element for effective AI utilisation in urban planning, and; (d) Convergence of artificial and human intelligence is crucial to address urbanisation issues adequately and to achieve smart and sustainable development. These insights highlight the importance of making planning smarter through advanced data and analytical methods.",2023
https://doi.org/10.1016/j.heliyon.2024.e27850,6,Smart cities and innovative urban management: Perspectives of integrated technological solutions in urban environments,"Smart city, Internet of things, Technological applications, Bibliometric analysis, Systematized literature review","The increasing urbanization in a poorly planned way accentuates the imbalance between the population's needs and the organized development in urban spaces. The present study is based on the development of a situational diagnosis in the scope of a smart city, for the contextualization of potential opportunities for actions and innovation strategies in urban spaces. This article presents a literature overview covering the innovative actions developed in the scope of smart cities in scientific publications. Furthermore, the scope of the study is identifying innovation initiatives in the performance of actions and solutions for urban spaces. A literature review was developed supported by mappings, couplings, and diagrams, through the use of VOSViewer and SciMat software, and 115 articles were selected and analyzed, considering the articles based on the criterion of the coefficient of the number of citations concerning the year of publication. In the literature overview developed, it was found that the research within the scope of smart cities has been deepened over the years, with the evolution of the number of words related to the theme in the period from 2014 to 2021, as the advance in the number of publications from 2018 is noticeable, which highlights the increase in popularity regarding the topic, as well as its current relevance. The study identified thematic axes with an emphasis on technology and innovation, environment, urbanism, energy, governance, mobility, and accessibility. The results contributed by assembling innovative smart city actions and practices in an interrelated way with technology, innovation, and market-oriented constructs aimed to reach urban demands, as well as the development of innovative solutions between public institutions and business organizations to integrate urban spaces.",2024
https://doi.org/10.1016/j.asieco.2024.101785,,Urban form deterioration and productivity in China,"Urban form, Total factor productivity, China","This paper explores the linkages between urban form and productivity in Chinese prefecture-level cities from 2000 to 2019. While most of the literature has concentrated on the effects of population density, this paper calculates the distance between each raster pair within the city's largest continuous built-up area to capture the urban form variation by using the matched data of the European Space Agency Global Land Cover dataset and the Chinese administrative map. For the empirical evidence, we apply the instrumental variables strategy for dealing with the endogeneity between urban form and productivity. We find that urban form deterioration has a statistically significant negative effect on the city's total factor productivity, and the results are still robust with a series of robustness checks. Furthermore, according to the mechanism test, we find that urban form deterioration affects the city's economic performance by discouraging the aggregation of enterprises and population in the city. This study thus sheds new light on the adoption of urban expansion policies to solve the negative externality of urban form deterioration on economic performance in China.",2024
https://doi.org/10.1016/j.eng.2024.01.022,,"Understanding the Resilience of Urban Rail Transit: Concepts, Reviews, and Trends","Urban rail transit, Resilience assessment, Resilience improvement, Network disruption","As the scale of urban rail transit (URT) networks expands, the study of URT resilience is essential for safe and efficient operations. This paper presents a comprehensive review of URT resilience and highlights potential trends and directions for future research. First, URT resilience is defined by three primary abilities: absorption, resistance, and recovery, and four properties: robustness, vulnerability, rapidity, and redundancy. Then, the metrics and assessment approaches for URT resilience were summarized. The metrics are divided into three categories: topology-based, characteristic-based, and performance-based, and the assessment methods are divided into four categories: topological, simulation, optimization, and data-driven. Comparisons of various metrics and assessment approaches revealed that the current research trend in URT resilience is increasingly favoring the integration of traditional methods, such as conventional complex network analysis and operations optimization theory, with new techniques like big data and intelligent computing technology, to accurately assess URT resilience. Finally, five potential trends and directions for future research were identified: analyzing resilience based on multisource data, optimizing train diagram in multiple scenarios, accurate response to passenger demand through new technologies, coupling and optimizing passenger and traffic flows, and optimal line design.",2024
https://doi.org/10.1016/j.jag.2022.103058,,"Modeling carbon storage in urban vegetation: Progress, challenges, and opportunities","Urban vegetation, Carbon storage, Carbon neutrality, Remote sensing, SDGs, Big Earth Data, Model-Data Fusion","Urban vegetation (UV) and its carbon storage capacity are critical for terrestrial carbon cycling and global sustainable development goals (SDGs). With complex spatial distribution, composition and ecological functions, UV is essential for global carbon cycling and climate change. Therefore, improving UV carbon storage capacity modeling is a research hotspot that deserves extensive investigation. However, the uniqueness of UV lead to great challenges in carbon storage modeling, including (1) limitations in data and algorithms due to complex and sensitive urban environments; (2) the severe scarcity of in-city field observation data (e.g., EC towers and field surveys); (3) difficulty in parameter inversion (e.g., canopy height, LAI, etc.); (4) poor transferability when migrating estimation models from natural vegetation to urban scenarios. The progress in carbon storage modeling in urban settings is reviewed, with detailed discussions on carbon storage modeling methods and major challenges. We then propose strategies to overcome existing challenges, including (1) implementing novel and improved remote sensing (RS) techniques (e.g., hyper-spectral, LiDAR, carbon satellites, etc.) to obtain enhanced structural and functional information on UV; (2) improving critical nodes of the earth observation sensor network, especially the distribution of EC towers in urban settings; (3) leveraging “Model-Data Fusion” technology by integrating big earth data with carbon estimation models to reduce the uncertainty in UV carbon storage estimations. This review provides new insights for modeling UV carbon storage and is expected to help the research community to achieve a better understanding of UV towards carbon neutrality.",2022
https://doi.org/10.1016/j.buildenv.2023.110685,,Improving air quality through urban form optimization: A review study,"Air pollution, Urban form, Influence mechanism, Optimization, Spatial planning","Air pollution is a significant global environmental issue. Nevertheless, the importance of rational urban planning in mitigating it is frequently disregarded. Conducting air quality optimization simulations that consider UFIs (urban form indicators) is an effective approach for air quality-friendly urban planning. Despite its potential, this technique is still in its infancy. This study aims to identify research gaps and uncertainties by summarizing the current research status of key steps in air quality optimization simulation: selecting UFIs, analyzing impact mechanisms of UFIs on air pollution, building air quality models, and proposing optimization strategies through multiple-scenario predictions. Our findings indicate a lack of consistency in selecting UFIs, and an indicator system considers their impact on air quality and urban planning standards proposed by us might be a viable option. Increases in the proportion of construction land, industrial land, and floor area ratio significantly contribute to air pollution, whereas factors such as forest land, public green space, and sky openness have a noteworthy alleviating effect. Typically, statistical modeling is preferred at the city scale while CFD simulation techniques are used at smaller scales. However, future air quality improving through UFIs optimization still lacks a multi-scale nested tool. Thus, further research is recommended to explore combined impacts of various UFIs on different air pollutants under typical scenarios, and develop intelligent, big data-driven air quality models and tools. This review might contribute to transforming air quality optimization that consider UFIs from fragmented academic research to practical application, thereby assisting in global air pollution mitigation efforts.",2023
https://doi.org/10.1016/j.jag.2023.103245,,How to quantify the travel ratio of urban public transport at a high spatial resolution? A novel computational framework with geospatial big data,"Urban public transportation, Public transport travel ratio, High spatial resolution, Linear programming, Supply and demand, Geospatial big data","Improving the travel ratio of public transportation (PTR) is important for realizing low-carbon transportation and sustainable city development. However, limited by data resolution and model accuracy, existing research rarely involves the spatially refined calculation of PTR and the quantitative analysis of its influencing factors. In this study, based on multi-source geospatial big data, we propose a novel computational framework to solve the above problems. Specifically, we first design a linear programming-based three-step method, which realizes the calculation of PTR at 500-meter grid-pair scale for the first time; secondly, we develop a Beta-binomial model for regression analysis, which improves by more than 50% compared with traditional generalized linear models. The case of Wangjing area in Beijing shows that: the overall PTR in Wangjing is only 16%, which is much lower than the official expectation (45%), and less than 20% of origin–destination (OD) pairs meet the standard; among the influencing factors, the travel duration gap between public transportation and private cars, walking distance, number of transfers, and residential parking density have significant negative effects on PTR. Finally, this paper provides an implication of the proposed computational framework, i.e., the accurate detection of public transportation (PT) supply–demand imbalance areas, which proves its great potential in refined transportation optimization and sustainable urban planning.",2023
https://doi.org/10.1016/j.jksuci.2021.08.007,"8, Part B","Reviewing the application of machine learning methods to model urban form indicators in planning decision support systems: Potential, issues and challenges","Urban form, Urban planning, Artificial intelligence, Machine learning, Deep learning, Urban models, Urban data, Neural networks, Ensemble methods, Urban big data","Modern cities dynamically face several challenges including digitalization, sustainability, resilience and economic development. Urban planners and designers must develop urban forms that address these challenges. With the integration of new communication and information technologies (Smartphone, GIS, Drones, IoT, Sensors, etc.), urban activities have generated large volumes of urban data. The rapid growth in terms of collection and big data storage capacities combined with the ever-increasing computational power of modern machines have made possible their efficient treatment using machine (ML) and deep learning (DL) algorithms. The emergence of such groundbreaking methods has in turn helped to address the challenges of modern-day cities in several domains (health, security, mobility, etc). ML algorithms have been proposed to model the urban form’s indicators for intelligent urban planning decision making. They have been proven to perform better than the traditional methods. However, the potential of ML has not yet been fully explored in research for urban planning decision support. This paper presents a comprehensive review of ML applications for mitigating the challenges of modern cities planning. First and foremost, an overview of the urban forms, sources of urban data, the ML and DL techniques as well as their potential in solving the aforementioned challenges. For each ML method, we will highlight it working principle, advantages, disadvantages and potential applications using comparative tables. Finally, we will discuss the issues and challenges of ML methods in urban form’s modeling while ultimately advocating some future research directions.",2022
